,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Mact
275,1,9.87,-0.53,0.19086,-2.191,3.565,5.118,8.5,0.036,0.0,18.748,18.275,17.024,16.466,16.261,0.191
276,1,9.87,-0.49,0.21125,-2.086,3.574,5.092,8.7,0.037,0.0,18.684,18.183,16.972,16.416,16.227,0.211
277,1,9.87,-0.49,0.71427,-0.586,3.703,4.635,10.2,0.038,0.0,16.434,15.857,15.103,14.626,14.558,0.714
278,1,9.87,-0.47,0.25704,-1.917,3.583,5.044,9.6,0.038,0.0,19.162,18.647,17.473,16.906,16.729,0.257
279,1,9.87,-0.43,0.15092,-2.519,3.518,5.154,9.3,0.037,0.0,20.367,20.045,18.536,17.974,17.735,0.151
280,1,9.87,-0.41,0.31624,-1.764,3.589,5.002,11.5,0.038,0.0,20.679,20.16,19.002,18.424,18.257,0.316
281,1,9.87,-0.39,1.04004,0.557,3.745,3.824,10.2,0.038,0.0,13.577,13.026,12.411,12.047,11.999,1.04
282,1,9.87,-0.37,0.36663,-1.643,3.593,4.963,10.4,0.038,0.0,19.278,18.756,17.611,17.021,16.862,0.367
283,1,9.87,-0.31,0.28449,-1.875,3.576,5.019,10.6,0.038,0.0,20.058,19.568,18.336,17.772,17.589,0.284
284,1,9.87,-0.27,0.23305,-2.052,3.564,5.058,9.6,0.038,0.0,19.499,19.049,17.753,17.192,16.987,0.233
285,1,9.87,-0.25,0.24732,-2.0,3.566,5.041,11.5,0.038,0.0,21.271,20.816,19.526,18.965,18.763,0.247
286,1,9.87,-0.21,0.25717,-1.975,3.565,5.031,11.2,0.038,0.0,20.909,20.458,19.159,18.597,18.396,0.257
287,1,9.87,-0.21,1.03179,0.266,3.78,4.252,12.3,0.038,0.0,16.406,15.895,15.389,15.107,15.071,1.032
288,1,9.87,-0.19,0.25432,-1.988,3.564,5.031,11.7,0.038,0.0,21.439,20.995,19.685,19.124,18.919,0.254
289,1,9.87,-0.17,0.44235,-1.478,3.595,4.886,9.8,0.038,0.0,18.265,17.759,16.59,15.975,15.826,0.442
290,1,9.87,-0.17,0.45701,-1.44,3.598,4.874,10.0,0.038,0.0,18.37,17.859,16.707,16.082,15.939,0.457
291,1,9.87,-0.17,0.49808,-1.334,3.606,4.841,12.1,0.038,0.0,20.206,19.689,18.573,17.931,17.798,0.498
292,1,9.87,-0.15,0.80476,-0.432,3.713,4.573,10.6,0.038,0.0,16.45,15.863,15.144,14.698,14.635,0.805
293,1,9.87,-0.13,0.18169,-2.334,3.532,5.105,8.0,0.035,0.0,18.605,18.253,16.78,16.235,16.001,0.182
294,1,9.87,-0.09,0.13076,-2.738,3.487,5.184,9.2,0.037,0.0,20.814,20.611,18.876,18.342,18.09,0.131
295,1,9.87,-0.07,0.15982,-2.5,3.51,5.127,9.6,0.038,0.0,20.619,20.338,18.737,18.204,17.961,0.16
296,1,9.87,-0.07,0.92038,-0.105,3.75,4.451,11.0,0.038,0.0,16.031,15.463,14.869,14.521,14.475,0.92
297,1,9.87,-0.05,0.44701,-1.488,3.589,4.878,11.1,0.038,0.0,19.589,19.103,17.883,17.276,17.122,0.447
298,1,9.87,-0.01,0.33054,-1.802,3.567,4.973,12.1,0.038,0.0,21.376,20.936,19.609,19.044,18.849,0.331
299,1,9.87,0.03,0.54771,-1.243,3.608,4.796,11.7,0.038,0.0,19.578,19.076,17.939,17.275,17.149,0.548
300,1,9.87,0.03,0.36567,-1.697,3.571,4.928,12.0,0.038,0.0,21.013,20.568,19.244,18.675,18.49,0.366
301,1,9.87,0.15,0.55661,-1.234,3.606,4.785,12.4,0.038,0.0,20.255,19.768,18.599,17.928,17.802,0.557
302,1,9.89,-0.79,1.01374,-0.366,4.562,7.762,9.6,0.038,0.0,15.284,18.96,19.378,19.529,19.623,0.584
303,1,9.89,-0.79,0.48313,-1.245,3.639,4.871,10.8,0.038,0.0,18.682,18.131,17.163,16.554,16.435,0.483
304,1,9.89,-0.77,0.51048,-1.168,3.645,4.839,10.9,0.038,0.0,18.589,18.038,17.085,16.475,16.362,0.51
305,1,9.89,-0.67,0.19001,-2.163,3.575,5.127,10.9,0.038,0.0,21.078,20.571,19.375,18.818,18.63,0.19
306,1,9.89,-0.53,0.64284,-0.801,3.675,4.694,9.2,0.037,0.0,15.973,15.405,14.55,13.989,13.906,0.643
307,1,9.89,-0.53,0.61113,-0.908,3.661,4.722,12.7,0.038,0.0,19.74,19.183,18.277,17.678,17.585,0.611
308,1,9.89,-0.47,0.13691,-2.638,3.508,5.192,9.5,0.038,0.0,20.865,20.573,19.012,18.444,18.206,0.137
309,1,9.89,-0.43,0.7969,-0.326,3.738,4.563,9.2,0.037,0.0,14.786,14.227,13.591,13.207,13.155,0.797
310,1,9.89,-0.43,0.70024,-0.653,3.691,4.645,11.7,0.038,0.0,18.101,17.525,16.727,16.213,16.139,0.7
